,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7,LDA_Component_8,LDA_Component_9,LDA_Component_10,LDA_Component_11,LDA_Component_12,LDA_Component_13,LDA_Component_14,LDA_Component_15,LDA_Component_16,LDA_Component_17,LDA_Component_18,LDA_Component_19,LDA_Component_20,LDA_Component_21,LDA_Component_22,LDA_Component_23,LDA_Component_24,LDA_Component_25,LDA_Component_26,LDA_Component_27,LDA_Component_28,LDA_Component_29,LDA_Component_30,LDA_Component_31,LDA_Component_32,LDA_Component_33,LDA_Component_34,LDA_Component_35
num__spectral_centroid_mean,0.0011665817767011837,0.00322019609547592,0.0009092767148234106,0.0006314631648410754,-0.0029012437451098835,-0.0011794330880197904,0.0026711724554988347,-0.002376559584024763,0.014530059573730467,-0.0035066629431699343,-0.019731740301783842,0.00549808028668036,-0.038076724715808107,0.01068363432419253,0.02502427258533518,0.0014651260922778724,-0.019197942838808074,-0.006965284597653637,0.006417006921002444,-0.012264138717999341,-0.011078106143849697,0.018688900314045753,0.00012717666635773248,0.0011401463649510515,0.012743128269054672,-0.01092842482078413,0.0014660254819811292,0.0003056204676725936,-0.002312665010248078,-0.008062544807463892,-0.0013358356601153578,0.0020553162897934373,-0.009343742196279361,-0.004851801564179939,-0.015621388084195015
num__spectral_centroid_std,-0.00031588918749336895,-0.0009100552920200389,-0.0019093098603482183,0.0003825323753130797,-0.004752111567373734,0.0008738673155579935,-0.00010052298674597723,-0.004241519414959577,-0.0009462488868491285,-0.002727489467354366,-0.00800851579714674,-0.002504007784499174,-0.020478872437794466,-0.012233842460162087,0.020483871896126115,-0.00496593065282476,-0.012832244174521995,0.003942027969046536,-0.009326787049670071,0.001975457585721599,-0.01035499625789215,-0.0004746103831684554,-0.0069191455207477295,0.007559276270385675,0.013345393542226955,-0.004371353014637545,-0.0031604810752276224,0.004323955548754891,-0.008731020996052883,-0.012272510169617041,0.010120093123633399,0.003992476784207352,-0.0042275014464908675,0.032552148338808755,0.008674774674995217
num__spectral_bandwidth_mean,0.001963167767816517,0.0015648730180263806,0.0006887673913697741,0.0010551550621986454,-0.0036187033630249834,-0.0022140842007509144,0.002584016272804029,-0.0013976216492433409,0.013898922909691304,-0.0053669139364917445,-0.018325387444308165,0.004908012350569997,-0.03694837467592755,0.013314220016487863,0.014331909785128046,0.008633496026484971,-0.019048704576941404,-0.006529331606705553,-0.003311861217427292,-0.013528609232437138,-0.012136151668074097,0.014383612300283889,-0.005091716759437351,0.002416446582597285,0.017734776243667223,-0.006688818648263805,-0.0066154390489008225,0.004648768496787761,-0.008333018447178125,-0.008280618493450268,0.008867166502893433,-0.00027063049857657017,-0.00812545506398217,0.0002083888430703241,-0.01983604419006821
num__spectral_bandwidth_std,-0.0011604127109537726,-0.003145867552659146,-0.002081530055886278,0.0010060258520363716,-0.0006372994474251152,0.0009593765359266856,-0.0024372769457713704,-0.0011180492553705774,-0.006881162501195519,-0.001840177600529875,0.007131948296819045,-0.007911647440512709,-0.0005250688995325659,-0.01687888006240424,0.006428406021451341,-0.00469635690309877,-0.001370138583300056,0.010515527553305258,-0.01006956779077269,0.006377503985437701,-0.0016577645672769988,-0.007617209346482802,-0.0071931817742984325,0.011463607914471905,0.006072865025035985,0.0005635635784266641,-0.002562882241517419,0.005452522233386494,-0.012406564051080779,-0.009256806494376138,0.01532865598487094,0.0012507700488030517,0.005628595325298342,0.03609861549352226,0.02489438991239372
num__spectral_rolloff_mean,0.0015239316913995635,0.002846505763829977,0.0005982825991421054,0.00105913223649608,-0.0033061636093622863,-0.001817636075595017,0.0028872817312516853,-0.001873147904857412,0.015134344168879658,-0.004891228622454573,-0.019868198315535594,0.005943515875913922,-0.03898251765137794,0.014163164354466348,0.020217995016457536,0.0036066100281836365,-0.019216236927852518,-0.007945156678258378,0.0019496847543223233,-0.01308698491938842,-0.01150044349484596,0.016753525421800242,-0.0018817694774137233,0.0007690785520790145,0.014369816261040533,-0.009424402777886892,-0.0018313245697387382,0.001981101309412241,-0.003651025053709364,-0.007852640900499277,0.0009266863917657186,0.0037512434461229273,-0.009873537339046267,-0.005285176003413888,-0.01949449238733119
num__spectral_rolloff_std,-0.0005535540827891629,-0.002142681611848502,-0.0008048681987620861,0.00046917552131896104,-0.0029224214262042617,0.00010280957311092536,-0.0005235258900277087,-0.0014615707045263287,-0.002645375270740916,-0.0035156446649787926,0.00015152208106328354,-0.006400208697634156,-0.011794298353600248,-0.013595041425387608,0.009163140305328,-0.0007766751868985376,-0.007826734517243852,0.00662415301477339,-0.011331926725073063,0.004016313188045793,-0.008421672272044475,-0.004401998848273742,-0.009070374376966723,0.010815012474905536,0.01569595739432604,-0.00018484230297132533,-0.007356063235075233,0.006131625580994588,-0.014461431075701567,-0.010355812285370842,0.01717186514484114,0.0030569866496922564,0.0019365647558343478,0.03694547043415153,0.013273560160279158
num__spectral_flatness_mean,0.0005091710685985062,0.0015497939617128045,-0.00041816565735420944,-6.231397330967381e-05,-0.00017352047102859187,0.0017886416751286727,-0.00023893115258430184,-0.0015784146206030093,0.0035786879820433135,-0.0016143940471489266,-0.003820650960654692,-0.0015060240345770146,-0.012565309077368574,-0.0027431708390558943,0.011145053581220803,-0.0005361791567673145,-0.00973808046902714,-0.0021990527598970406,0.001075528064937839,-0.0030736040600830455,-0.00020718388885586906,0.0023812736135827572,0.001650744827788398,-0.0007843668026732652,-0.003143968433536434,-0.0009173109204215344,0.011173530554638428,-0.0014794585944293813,0.0090301269261965,0.0077374775353419,-0.030770637391108992,0.06151486480670947,-0.0012391213392528122,-0.004849161091856497,-0.0040609489538138465
num__spectral_flatness_std,0.00038541344246574506,0.001781724638876249,-0.0010321087026128706,0.0002244826242682251,-0.0020041077610237303,0.00251893546104186,0.0011008240321895661,-0.000812354710154802,0.0046550322479425536,-0.0035056273650693466,-0.0038851846810428947,-0.0023750845299310864,-0.021884723355092055,-0.008602065788702882,0.01739288091698637,-0.0049729404917491045,-0.01689756696913369,0.0013629233850641033,-0.0037075707341756377,0.002975285134406778,0.007308633222017857,0.0032820093674730813,-0.0010520467828399498,0.0023309062163717875,0.0009451187025692631,-0.0004034733140365398,0.007933077489417309,-0.00617676887644343,0.004155661290447344,-0.004459780559904825,-0.0015491574434917843,0.008485552920205103,0.0020775186936639965,8.745324606353533e-05,0.009512005867774908
num__mfcc_01_mean,0.00022443682783910128,0.0029252170083786787,0.0020203857598651816,-0.0006153533521600298,-0.0010734595750599126,-0.001671019093515867,0.0015265016061856375,0.0013171899801332123,0.019317082209304053,0.004366266397217239,-0.021515915684835622,0.011771564159748676,-0.023528126972053896,0.022667672283646002,0.005589761674618313,0.0060476058393840165,-0.006706736470540418,-0.007510580435078414,0.002772342340899241,-0.01911176813018087,-0.001232648677078193,0.016648692000058384,0.0008413397651396879,-0.00021253224380518934,0.005836126047374851,-0.014146085648547593,-0.005209619085790097,0.0008002780885548156,-0.007383097111449876,-0.012732811029151102,0.007792738061093149,-0.03867855484533299,-0.002382816547854946,-0.013027798621498604,-0.009613851947755034
num__mfcc_02_mean,-0.001041911921460142,-0.0020609522421690184,-0.0003302926690690932,-0.0008046413751732871,0.0034922318163349013,0.0014189908114175778,-0.002392625876940728,0.0021932009333476095,-0.012413424607382746,0.0016871679252639742,0.016030454830600904,-0.00415670020523213,0.03273587881914467,-0.00478668554261268,-0.022485666730301484,-0.00041903463297378313,0.017974966274064443,0.007547934435281505,-0.004665230616164192,0.008596984016306384,0.009507285694601773,-0.015403091454974819,-0.0011289824724450203,0.001338397792177919,-0.0082255615476549,0.00896601297096648,-0.003350031680104751,-0.0010822494216123162,0.0028014298914041578,0.004649400116427577,0.006031000988451801,-0.020487467132728157,0.01074624508274917,0.0019288365162642076,0.014755385251788638
num__mfcc_03_mean,0.0024451675869513975,0.000757133230992984,-0.00313474659050597,0.0020396599022660337,-0.002896915718749085,-0.0006068619900472357,-0.0017886268945304254,0.0002488657564366054,-0.0028966953898672057,-0.0059043061319395355,0.0037200399410289168,-0.0004992226555530447,-0.009416385735186166,-0.0004298160844562037,-0.012862382756502125,0.014711379725509358,-0.0067217429706307764,0.00040710943403607044,-0.0166717049050923,-0.0033717673731982274,-0.005617455429045975,-0.007850672212179454,-0.012073956298145474,0.002606198229760938,0.014444908029288316,0.008109282759818998,-0.013147850414445536,0.007439808179747672,-0.0048726367190701815,-0.0029657559366711864,0.01248494654682762,0.005086405794890646,-0.0036920863429275278,0.01372011361400741,-0.008638011368289567
num__mfcc_04_mean,1.7511156802296935e-06,0.002061756225171168,-0.0025617958826246135,0.0018254746533056302,0.001832991103542667,0.00048211530918648075,-0.0001415241034300722,-0.0004871095846719044,-0.001808908856817925,0.006170987901620984,0.008964100118526417,-9.346799378425711e-05,0.0017738516079381088,-0.011011063837992137,-0.006944912151830917,-0.009311125507928529,0.012009647490334233,-0.0019639424087009054,-0.0062933692560263295,0.009715725536572867,0.014808747659843578,-0.015125076956366572,0.00505696616642192,-0.008679567162783725,-0.019326509803654936,-0.0013677001731023323,0.0032463700201806763,0.005554705225647744,0.0014600473917656292,0.0013769724840101963,0.0005821563416076043,-0.011016417699147565,-0.007870219488714875,0.00594072841261529,0.0018905393281882562
num__mfcc_05_mean,0.00018776208381949267,0.002004397670474258,-0.0004533210419365192,-0.0011215152374223563,7.851031812315875e-05,0.001995043546705219,-0.00041634124640653355,-0.0004976889109716022,-0.0008245062267504735,-0.0021751937337616003,0.002265020969454857,-9.474918061314113e-05,0.0014749445477233696,-0.005008990789541712,-0.0045926946457137355,-0.00426021680864563,-0.004962575022237817,0.004325554517837239,-0.008026553601141408,0.0010636345417618868,0.0002543758998624001,-0.01997169148381442,-0.009377342363067708,-0.004902478791077599,-0.0004588822691291415,0.004629793707331747,-0.004781541153008862,0.008748575415864027,-0.01044305031238668,-0.0010020765480827244,0.008725463099573014,0.005536242677846631,0.0004358649189241027,0.014031002437801449,-0.0024564126966257517
num__mfcc_06_mean,0.0020707632128092786,-0.0005698845745571396,-0.0010947008638077594,-0.002143702393777258,-0.001120540042524266,0.0011536456899378063,0.004575634387796601,-0.0025819863643126288,-0.00048417787282164327,-0.00010869454288728246,0.0029391438029625467,0.0018608882280688173,-0.009300920520343313,-0.005169943912118247,-0.004124232287101625,-0.017376784123998918,-0.0015974729082433282,-0.0056164140498402145,-0.003491333751058056,0.0005335421882466669,0.010101955346208122,-0.006332037501575987,-0.004861933012332662,-0.009380917362796998,-0.010998316600236136,0.003193835496665174,-0.005651472020076061,0.004966149767884747,-0.009955284347143637,-0.008584181478652798,0.0013686530473948704,-0.00551565277600048,-0.0010299784166112832,-0.006235920721548531,-0.0013028195714681735
num__mfcc_07_mean,0.0006193414523531176,-0.0037512216002815488,0.000625781217748575,-0.0002189400604633101,0.0013604132816850435,0.0020598955219686115,0.0009897215572964306,0.002158641751709163,0.002626978899816635,-0.003327297147613419,0.002328209425099707,0.0004002723501874576,-0.00632841641945356,-0.00823263141510175,-0.003286669045125716,-0.01253817861337134,-0.007519171849696155,0.0058305659051538445,-0.008795961728700346,-0.004226212613568085,0.005045691214297747,-0.018139674267341203,-0.0024511303014529287,-0.001890867856395068,-0.011021871159459531,0.011892416404565767,-0.0003531986980889651,0.0013515461010494415,-0.001651071365239763,-0.0004339384576996778,0.006526091436765149,0.011054307416844577,-0.004152825916808255,0.008956833122182985,0.015131943855443772
num__mfcc_08_mean,0.0006452547266057225,0.001846991101587933,0.0022176560044456567,0.0010494965847477292,-0.0021058522284918978,0.0010534687526430873,0.0019206455074257938,-2.2454480382726313e-05,0.004958918832818065,-0.003515809107307347,-0.005773642410664934,0.004842143301744236,-0.016488086108369795,0.0005186381663160351,0.007388370726803014,-0.012092152627740526,-0.0012164645789017653,-0.0010053963830127936,-0.005674048250728123,-0.0012316144620349325,0.010726748233973966,-0.009481837981665958,-0.0014203946864790782,-0.011911849981588736,-0.014074921120935197,0.000527785562734004,-0.002594005429111068,0.006737183330153235,-0.008841257180403565,-0.012157903208319441,-7.834600286296281e-05,0.0061828641922709905,0.0030289794697643344,0.00683472093306441,-0.003613154605011196
