artist_name,genre,youtube_url,segment_start_sec,segment_duration_sec,duration_sec,sample_rate,tempo_bpm,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_01_mean,chroma_02_mean,chroma_03_mean,chroma_04_mean,chroma_05_mean,chroma_06_mean,chroma_07_mean,chroma_08_mean,chroma_09_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,onset_strength_mean,onset_strength_std
Léo Santana,Axé,ytsearch1:Léo Santana official audio,64.52,10,14.474,22050,129.19921875,0.3484197556972503,0.1212746948003768,0.0861558180588942,0.0561948966023711,2558.5719748460447,782.8213833304878,2771.5441974700525,332.71046465705246,5685.352266751803,1408.4972206922323,0.0298784580081701,0.0446934923529624,-34.72471237182617,72.24571990966797,18.813316345214844,25.61431312561035,-0.9168078899383544,9.984292030334473,-3.676649332046509,-10.863420486450195,3.219115734100342,-0.287573367357254,-2.6623475551605225,6.292958736419678,-4.798347473144531,0.4668783545494079,0.34921994805336,0.3553436994552612,0.3276494741439819,0.478628933429718,0.3411307632923126,0.2985633015632629,0.3766174018383026,0.3635644614696502,0.4460489749908447,0.3627621233463287,0.3893168568611145,2.1895453929901123,3.2510828971862797
Raça Negra,Axé,ytsearch1:Raça Negra official audio,139.6,10,19.574,22050,103.359375,0.1515036225318908,0.0681751817464828,0.0866609439872479,0.0468443953979961,2421.8523756035024,667.7220663509046,2686.8685171506686,352.0841077420813,5429.917739379448,1404.3971683107852,0.0279890745878219,0.0452894568443298,-104.23680877685548,77.92684173583984,7.438718795776367,34.18008804321289,12.565486907958984,8.570477485656738,2.5435104370117188,9.355860710144045,2.1480460166931152,0.1080594882369041,1.0304330587387085,2.081977367401123,-5.4908447265625,0.3862486481666565,0.2792698740959167,0.380790650844574,0.2924293279647827,0.3609182834625244,0.435112327337265,0.3069201707839966,0.3768546879291534,0.3930152952671051,0.5643430352210999,0.4928511381149292,0.3469606935977936,1.696673035621643,2.0717475414276123
XANDDY HARMONIA,Axé,ytsearch1:XANDDY HARMONIA official audio,98.38,10,18.374,22050,117.45383522727272,0.2484493106603622,0.0779236555099487,0.0838943635574494,0.0389659539504749,2071.516526265581,577.6099655266797,2405.1152646858613,356.1811380936241,4530.6049693714485,1321.0265687050148,0.0222030505537986,0.025254214182496,-39.7477912902832,100.6067123413086,5.817382335662842,29.51436233520508,-0.8431895971298218,4.361625671386719,-2.6450681686401367,3.454185962677002,-5.725571632385254,-0.3141493499279022,-2.568161964416504,2.2832179069519043,-0.7306180000305176,0.3103564381599426,0.309788167476654,0.403681606054306,0.5355551838874817,0.4017083644866943,0.4266940653324127,0.400147408246994,0.5176723599433899,0.3957781195640564,0.3250624537467956,0.4455204308032989,0.3120473623275757,1.8736039400100708,2.3374929428100586
O Kannalha,Axé,ytsearch1:O Kannalha official audio,50.67,10,10.674,22050,107.666015625,0.2681202292442322,0.1209515035152435,0.0771112856657608,0.0307002796750555,1919.9570287650608,695.6479560729882,2120.4624741850967,516.7261248896293,3949.868217136549,1676.3892495036569,0.0149739496409893,0.0249435156583786,-64.87529754638672,112.18538665771484,-12.679266929626465,18.08123779296875,-6.274125576019287,2.98759126663208,-8.171422958374023,0.6643021106719971,-3.540085554122925,-5.101023197174072,-8.520691871643066,-0.032204270362854,-5.701359748840332,0.3601581752300262,0.4085904359817505,0.2803170382976532,0.2714208364486694,0.2842355370521545,0.2264851182699203,0.2261754274368286,0.2388848662376403,0.3159185349941253,0.4479973912239074,0.4625910222530365,0.3964233994483948,2.2087831497192383,2.911017894744873
Claudia Leitte,Axé,ytsearch1:Claudia Leitte official audio,100.8,10,10.774,22050,99.38401442307692,0.2015773206949234,0.0928077921271324,0.1058212806438577,0.0965123527460102,2473.688847933456,1157.6170839302586,2508.301345438492,391.24913495947385,5023.269337621228,1940.6004581856075,0.027576046064496,0.0456801280379295,-83.50159454345703,85.2595443725586,-10.021531105041504,-3.3908026218414307,-5.694482326507568,-3.433322668075561,-3.5410475730896,-1.8016871213912964,-0.5050057768821716,10.722540855407717,-12.30846118927002,0.9583597779273988,-10.296216011047363,0.4477312266826629,0.3241460025310516,0.4372546076774597,0.2823187112808227,0.3222953081130981,0.2792005240917206,0.3053013384342193,0.4973725974559784,0.3561540842056274,0.4591724276542663,0.3666174113750458,0.4114020764827728,1.692957639694214,1.7284433841705322
Ivete Sangalo,Axé,ytsearch1:Ivete Sangalo official audio,41.52,10,11.474,22050,143.5546875,0.20700763165950775,0.07564093917608261,0.09324396306818182,0.06436093033427698,2260.2328389220615,846.7829867449599,2476.9042003236073,453.4516882982847,4627.702858664773,1682.3232591953538,0.02238478511571884,0.029104450717568398,-76.6309585571289,94.08296966552734,0.3453756272792816,27.74555778503418,14.143689155578613,-2.169309616088867,1.4223233461380005,7.81121301651001,-6.86321496963501,4.712018013000488,-10.601128578186035,-2.757632255554199,-3.6534011363983154,0.3362535238265991,0.4298320710659027,0.36909082531929016,0.4374934732913971,0.3355444073677063,0.21637612581253052,0.2964763641357422,0.3249880373477936,0.35897210240364075,0.24595454335212708,0.2687509059906006,0.3229542374610901,1.851779818534851,2.4133341312408447
O REI DOS FAIXAS,Axé,ytsearch1:O REI DOS FAIXAS official audio,272.69,10,12.674,22050,99.38401442307692,0.35168808698654175,0.13338764011859894,0.08382250887133699,0.039135288698670036,2546.2746208356316,621.7652682399806,2819.980166338229,294.3811600745326,5903.134390024038,1255.0033782536802,0.03326974809169769,0.032967403531074524,-4.901371479034424,82.23968505859375,15.073638916015625,18.895851135253906,-1.7096196413040161,8.104951858520508,1.9157658815383911,6.675110816955566,2.4649899005889893,0.5261421799659729,-6.1417412757873535,-2.1129798889160156,-1.2703611850738525,0.6204695105552673,0.5123277306556702,0.3023242652416229,0.2248312383890152,0.3493087589740753,0.2719636559486389,0.2571880519390106,0.24983544647693634,0.2910449206829071,0.4765784442424774,0.356148898601532,0.4229215085506439,1.7175610065460205,1.8414908647537231
AX'EL,Axé,ytsearch1:AX'EL official audio,66.1,10,16.074,22050,117.45383522727273,0.2361416518688202,0.1201777532696724,0.06227805397727273,0.03314407244804819,1645.955432728467,790.9448700009516,2002.5851798984693,620.3013608359106,3322.0325816761365,2090.912864129428,0.01932111382484436,0.05175009369850159,-91.74156951904297,133.10012817382812,-2.5130200386047363,6.401029109954834,-9.88241958618164,4.762087345123291,-6.570033550262451,-7.29124116897583,-7.424447536468506,8.939606666564941,-9.052783012390137,-6.173180103302002,-4.9028239250183105,0.610589861869812,0.2516341209411621,0.20647238194942474,0.3076053559780121,0.2876303791999817,0.36118605732917786,0.3096577823162079,0.5898020267486572,0.4748370349407196,0.35414406657218933,0.4239465892314911,0.37498369812965393,1.7913610935211182,2.848198175430298
Cheiro de Amor,Axé,ytsearch1:Cheiro de Amor official audio,109.02,10,18.974,22050,161.4990234375,0.3077757954597473,0.07021680474281311,0.1022632850702934,0.07762628707520458,2346.1742495466924,883.6702269579666,2595.19095923741,378.2800237444414,5180.235831486858,1599.1914430278994,0.027057746425271034,0.04253977909684181,-13.075689315795898,91.66410827636719,12.012487411499023,20.220895767211914,1.3420606851577759,6.604870796203613,0.25764983892440796,8.288101196289062,-1.3555678129196167,6.827779769897461,-1.2240350246429443,1.6810977458953857,-3.589175224304199,0.28433218598365784,0.3611280024051666,0.28002628684043884,0.2376333475112915,0.32976898550987244,0.27042222023010254,0.3758015036582947,0.26779904961586,0.283984899520874,0.4134010374546051,0.28401243686676025,0.4276008903980255,1.2272999286651611,0.8459599614143372
Asa De Águia,Axé,ytsearch1:Asa De Águia official audio,160.58,10,10.574,22050,129.19921875,0.23822812736034393,0.05275953933596611,0.13442082990679824,0.038397271955533094,2787.8900293687752,419.46675638604336,2773.9215612400035,226.86741268907224,6123.528249640214,908.4002273588117,0.0692964643239975,0.04246724769473076,20.233848571777344,79.92506408691406,-7.2752580642700195,6.764245510101318,-4.981929302215576,1.278989553451538,-0.17251111567020416,0.9086445569992065,-2.21917724609375,9.35157299041748,2.6003236770629883,2.158076047897339,-0.7620826363563538,0.43570077419281006,0.7114050388336182,0.4235236942768097,0.3531109392642975,0.40286770462989807,0.5453612804412842,0.5371760129928589,0.3738318979740143,0.47559770941734314,0.396581768989563,0.49259206652641296,0.42810574173927307,1.2088401317596436,1.0482136011123657
