artist_key,artist_name,ID_ARTISTA,estilo,formacao,cidade,uf,valor_oferta,nota,qtd_avaliacoes,n_registros_groova,n_urls_midia,has_showlivre_url,has_youtube_url,priority_media_url,priority_media_type,all_media_urls,query_showlivre,query_youtube,query_youtube_url,match_status,matched_video_url,matched_video_title,matched_channel,audio_source_type,video_platform,video_id,video_url_final,video_title,video_channel,video_duration_sec,video_upload_date,audio_download_status,audio_file_path,duration_sec,sample_rate,tempo_bpm,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_01_mean,chroma_02_mean,chroma_03_mean,chroma_04_mean,chroma_05_mean,chroma_06_mean,chroma_07_mean,chroma_08_mean,chroma_09_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,onset_strength_mean,onset_strength_std,embedding_model,embedding_path,embedding_dim,genre_tag_pred,mood_tag_pred,voice_probability,instrumental_probability,quality_flag,notes,dataset_youtube_url,dataset_other_media_url,audio_source_url,audio_source_origin,audio_confidence,audio_match_status,showlivre_match_status,showlivre_match_error,showlivre_match_score,yt_dlp_status,yt_dlp_error,yt_dlp_extractor,yt_dlp_raw_info_json,audio_semantic_score,audio_semantic_match,audio_semantic_title_hits,audio_semantic_channel_hits,audio_semantic_phrase_in_title,audio_semantic_phrase_in_channel,audio_semantic_title_ratio,audio_semantic_channel_ratio,audio_semantic_risk_terms,audio_semantic_good_terms,audio_recommender_score,audio_recommender_quality,audio_recommender_risk_terms,audio_recommender_good_terms,audio_processing_status,audio_processing_error,audio_temp_cleanup_status,audio_temp_file_used,feature_extraction_status,feature_extraction_error,audio_download_error,segment_n_used,segment_duration_sec,segment_start_times,feature_sampling_mode,audio_total_duration_sec
dj chakal,DJ CHAKAL,17474,DJ,Solo,Campinas,SP,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ CHAKAL,DJ CHAKAL showlivre,https://www.youtube.com/results?search_query=DJ%20CHAKAL%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj chapeuzinho,DJ CHAPEUZINHO,20926,Funk,Solo,São Paulo,SP,,1.6667,,1,0,0,0,,other,,site:showlivre.com DJ CHAPEUZINHO,DJ CHAPEUZINHO showlivre,https://www.youtube.com/results?search_query=DJ%20CHAPEUZINHO%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj caio padial,DJ Caio Padial,11105,Eletrônica,Solo,São Bernardo Do Campo,SP,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ Caio Padial,DJ Caio Padial showlivre,https://www.youtube.com/results?search_query=DJ%20Caio%20Padial%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj calu open format,DJ Calu Open Format,17410,DJ,Solo,Campinas,SP,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ Calu Open Format,DJ Calu Open Format showlivre,https://www.youtube.com/results?search_query=DJ%20Calu%20Open%20Format%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj carol rosa zula,DJ Carol Rosa - Zula,21413,,,São Paulo,SP,,1.7882,,1,0,0,0,,other,,site:showlivre.com DJ Carol Rosa - Zula,DJ Carol Rosa - Zula showlivre,https://www.youtube.com/results?search_query=DJ%20Carol%20Rosa%20-%20Zula%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj carol seubert,DJ Carol Seubert,12521,Eletrônica,Solo,São Paulo,SP,,1.6683,,1,0,0,0,,other,,site:showlivre.com DJ Carol Seubert,DJ Carol Seubert showlivre,https://www.youtube.com/results?search_query=DJ%20Carol%20Seubert%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj dk,DJ DK,11882,Funk,Solo,Santo André,SP,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ DK,DJ DK showlivre,https://www.youtube.com/results?search_query=DJ%20DK%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj dony,DJ DONY,16312,DJ,Solo,São Paulo,SP,,2.0628,,1,0,0,0,,other,,site:showlivre.com DJ DONY,DJ DONY showlivre,https://www.youtube.com/results?search_query=DJ%20DONY%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj dani gazulla,DJ Dani Gazulla,22456,DJ,Solo,São Paulo,SP,,9.1667,,1,0,0,0,,other,,site:showlivre.com DJ Dani Gazulla,DJ Dani Gazulla showlivre,https://www.youtube.com/results?search_query=DJ%20Dani%20Gazulla%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
dj digao,DJ Digão,22625,DJ,Solo,Campinas,SP,,1.6667,,1,0,0,0,,other,,site:showlivre.com DJ Digão,DJ Digão showlivre,https://www.youtube.com/results?search_query=DJ%20Dig%C3%A3o%20showlivre,pending,,,,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_audio,0.0,not_found,not_found,"Invalid js_runtimes format, expected a dict of {runtime: {config}}",,no_url,Nenhuma URL disponível para extração.,,,,unknown,,,,,,,,,,unknown,,,pending,,,,pending,,,,,,,
