ID_ARTISTA,lda_component_1,lda_component_2,lda_component_3,lda_component_4,lda_component_5,lda_component_6,lda_component_7
14776,0.18763123780243673,-0.4278030616220339,-0.015318676177540921,-0.28245217724182176,0.3691732559750673,1.153629393851597,1.334609947978306
4201,0.10399698961429935,-0.36342926798071473,0.898451008839821,0.4084750409652755,0.22938322675085218,0.051839568196856,-0.01571055813004317
13089,-0.1250817679636378,-0.690283884050484,0.8340582288342927,0.19893536557456903,1.0350056390858229,0.8722262248757652,-0.3442318232361625
3739,-0.35996170656406484,-0.8740434651506577,0.27481832517974114,-1.1196643234141948,-0.4754200127647596,1.3076331568809303,0.3244634046716685
18784,-0.20571244804952019,-0.6161133642586681,-1.354325120909736,-1.3375244047736428,-0.5648486611935134,0.7894255171532277,0.5349249371898126
1532,0.029548835506958034,-0.055852268340886385,-2.3531033352565562,2.2160213559975057,-0.9481340801063277,-0.7119773271058797,0.19265850749192898
12109,-0.11730242988788987,-0.46745980983382085,0.6747166834683553,0.7350129918904431,0.02596142026098133,-0.5119384945001164,-0.03188094184198449
14951,-0.32637654358294527,-1.566885675637601,-2.029222806364569,-2.406257420624109,0.7953856309911619,-0.15286893151213743,-1.2313904497138979
11620,-0.04388028380511996,-0.3627137986987222,0.4882605614064514,0.3643710326168076,0.5117063599969102,-0.7406910547909318,-0.3049927082758825
10885,-0.5117559600723391,1.4131543128800008,1.1538967939379448,-0.4306262590890363,-1.0429270359809113,-0.9334792554839874,-0.10751894917150043
20442,0.36040077287014843,-0.15777069226759816,-0.4435490509849793,0.19766049428685184,0.8752530408205494,-0.012680319682341639,0.21451896841670773
10317,-0.26991037725391415,0.2963062376335441,1.461389970166259,0.4636878113984988,0.2983501869282487,-0.676903507805829,-0.49208584929566634
11103,0.002929115018662639,-0.5415740281494947,0.8206740524423749,0.34214600068009665,0.3630771894619837,-0.12092853782671906,0.0498704131262374
17846,0.27549634671508577,0.07487356173201894,-1.237887104733462,-0.06127567089137931,0.5890045106816102,-1.16238379229672,-0.7061173828056552
21104,-0.2720614016121334,-0.3802785212966182,-2.1989959623390076,3.4776445086100076,-1.5089892485332292,-0.2064402366522808,-0.03498869569825516
18890,0.02459724546240958,-0.1690934112677021,0.33180120431705934,0.5639176154810164,0.7385526507191358,-1.0527573525678955,-0.1553039919070696
