ID_ARTISTA,familia_sonora,proba_Dinamico,proba_Quente,proba_Brilhante,proba_Pulsante
17479,Pulsante & Sombrio,0.2029,0.214,0.1442,0.4389
22224,Brilhante & Intenso,0.2402,0.2368,0.3877,0.1353
15371,Dinamico & Contrastante,0.3933,0.1729,0.1817,0.2521
20075,Pulsante & Sombrio,0.2086,0.217,0.1545,0.4198
2773,Brilhante & Intenso,0.2355,0.2245,0.3824,0.1577
18196,Brilhante & Intenso,0.1866,0.1963,0.5113,0.1058
22122,Quente & Encorpado,0.1293,0.4803,0.1969,0.1935
3914,Quente & Encorpado,0.2053,0.3574,0.2802,0.1571
2374,Pulsante & Sombrio,0.2896,0.182,0.1432,0.3852
10912,Quente & Encorpado,0.2028,0.3274,0.2961,0.1737
12390,Dinamico & Contrastante,0.4085,0.1985,0.2283,0.1647
16188,Brilhante & Intenso,0.1844,0.3014,0.3043,0.2098
15762,Quente & Encorpado,0.1852,0.3384,0.2339,0.2425
15668,Pulsante & Sombrio,0.2772,0.2088,0.1695,0.3445
9914,Pulsante & Sombrio,0.2441,0.2127,0.1458,0.3974
2794,Quente & Encorpado,0.2515,0.272,0.2075,0.2689
20312,Brilhante & Intenso,0.2153,0.2365,0.3697,0.1785
21466,Quente & Encorpado,0.1797,0.362,0.1903,0.268
17026,Brilhante & Intenso,0.1377,0.3411,0.3983,0.1229
12233,Dinamico & Contrastante,0.4593,0.1561,0.1852,0.1994
11709,Pulsante & Sombrio,0.2316,0.1838,0.1428,0.4418
13059,Dinamico & Contrastante,0.2693,0.2535,0.222,0.2551
16617,Quente & Encorpado,0.1731,0.3473,0.3161,0.1635
11530,Brilhante & Intenso,0.193,0.2368,0.4575,0.1126
18676,Dinamico & Contrastante,0.3987,0.1925,0.2848,0.1239
11416,Dinamico & Contrastante,0.3669,0.2038,0.1873,0.242
13545,Dinamico & Contrastante,0.3403,0.2036,0.1985,0.2576
21779,Dinamico & Contrastante,0.2652,0.2257,0.2572,0.252
10673,Quente & Encorpado,0.1405,0.4532,0.2598,0.1464
12419,Brilhante & Intenso,0.1553,0.3188,0.4145,0.1114
14913,Brilhante & Intenso,0.1636,0.3088,0.4106,0.1169
10786,Pulsante & Sombrio,0.1672,0.2954,0.1914,0.346
20006,Brilhante & Intenso,0.1912,0.215,0.4989,0.0949
15898,Dinamico & Contrastante,0.384,0.1915,0.2176,0.2069
10887,Pulsante & Sombrio,0.2988,0.1835,0.1345,0.3832
21431,Dinamico & Contrastante,0.4638,0.1683,0.1704,0.1975
16481,Dinamico & Contrastante,0.4051,0.1735,0.2193,0.2021
11019,Brilhante & Intenso,0.1489,0.2734,0.4748,0.1029
22139,Dinamico & Contrastante,0.4305,0.1747,0.1901,0.2047
20248,Dinamico & Contrastante,0.3843,0.203,0.1751,0.2375
11436,Dinamico & Contrastante,0.4394,0.1659,0.2244,0.1703
20963,Brilhante & Intenso,0.1916,0.2999,0.3708,0.1377
17824,Pulsante & Sombrio,0.3361,0.1625,0.1556,0.3458
11602,Pulsante & Sombrio,0.2159,0.237,0.1722,0.3749
17231,Quente & Encorpado,0.2205,0.3174,0.2474,0.2148
11300,Dinamico & Contrastante,0.3539,0.1904,0.1658,0.2898
11116,Quente & Encorpado,0.1419,0.4385,0.1728,0.2468
20052,Pulsante & Sombrio,0.3273,0.1641,0.1407,0.3679
1360,Pulsante & Sombrio,0.2233,0.206,0.1595,0.4112
16662,Dinamico & Contrastante,0.262,0.2556,0.2578,0.2247
22087,Quente & Encorpado,0.2183,0.3255,0.2391,0.2171
17797,Dinamico & Contrastante,0.3119,0.2615,0.2469,0.1797
17736,Brilhante & Intenso,0.269,0.2609,0.3028,0.1673
16410,Dinamico & Contrastante,0.3547,0.1889,0.1698,0.2866
3740,Pulsante & Sombrio,0.2451,0.2423,0.2165,0.2961
15784,Brilhante & Intenso,0.2936,0.1835,0.3403,0.1827
4107,Brilhante & Intenso,0.2367,0.282,0.3166,0.1647
3614,Dinamico & Contrastante,0.3118,0.2344,0.2889,0.1649
11956,Dinamico & Contrastante,0.3912,0.1713,0.2048,0.2327
17427,Dinamico & Contrastante,0.3897,0.1493,0.1949,0.2661
19041,Quente & Encorpado,0.1191,0.4104,0.3653,0.1052
2422,Dinamico & Contrastante,0.3512,0.2185,0.258,0.1723
1540,Pulsante & Sombrio,0.252,0.1665,0.154,0.4276
16191,Dinamico & Contrastante,0.4045,0.1963,0.1718,0.2274
17163,Brilhante & Intenso,0.202,0.1821,0.5054,0.1105
19054,Brilhante & Intenso,0.2263,0.2467,0.3915,0.1356
12645,Dinamico & Contrastante,0.3946,0.1746,0.1902,0.2406
11012,Quente & Encorpado,0.1764,0.3375,0.2208,0.2652
11376,Quente & Encorpado,0.2131,0.3648,0.2657,0.1564
19309,Quente & Encorpado,0.2285,0.3099,0.2623,0.1993
17886,Dinamico & Contrastante,0.2977,0.2516,0.2029,0.2478
21119,Brilhante & Intenso,0.196,0.2236,0.4573,0.1232
10981,Dinamico & Contrastante,0.5382,0.1283,0.1868,0.1468
2966,Pulsante & Sombrio,0.1963,0.2539,0.142,0.4077
17560,Quente & Encorpado,0.2691,0.2748,0.2572,0.1989
10635,Brilhante & Intenso,0.2635,0.2368,0.3143,0.1855
17028,Dinamico & Contrastante,0.3433,0.1789,0.2421,0.2357
14503,Brilhante & Intenso,0.2124,0.3076,0.3252,0.1548
16380,Brilhante & Intenso,0.2436,0.2051,0.4117,0.1396
3512,Brilhante & Intenso,0.2359,0.2225,0.2914,0.2502
3004,Brilhante & Intenso,0.2305,0.2392,0.4086,0.1217
17348,Dinamico & Contrastante,0.3582,0.1918,0.1374,0.3126
11554,Quente & Encorpado,0.2071,0.3106,0.2787,0.2035
16103,Brilhante & Intenso,0.2355,0.288,0.3229,0.1535
15938,Quente & Encorpado,0.2104,0.3047,0.2555,0.2295
19727,Brilhante & Intenso,0.1652,0.359,0.3683,0.1075
2852,Brilhante & Intenso,0.2061,0.2868,0.3169,0.1902
12917,Brilhante & Intenso,0.1999,0.2985,0.3112,0.1904
