,ID_ARTISTA,artist_name,estilo,formacao,cidade,uf,video_title,video_channel,video_duration_sec,segment_start_sec,segment_duration_sec,duration_sec,sample_rate,tempo_bpm,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_01_mean,chroma_02_mean,chroma_03_mean,chroma_04_mean,chroma_05_mean,chroma_06_mean,chroma_07_mean,chroma_08_mean,chroma_09_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,onset_strength_mean,onset_strength_std,ESTILO_MUSICAL,FORMACAO,CIDADE,UF,OFERTA,SLUG,Nota,estilo_merged
0,14776,Marcos Rosalle Corporativo,Sertanejo,Solo,Santana de Parnaíba,SP,É Você - Marcos Rosalle,Marcos Rosalle,260.0,42.97,10,12.973514739229024,22050,95.703125,0.1038178279995918,0.058848351240158,0.0646304435934704,0.0584295120628834,1711.9596570406304,802.4071329660087,2159.5429124202537,610.1288476555117,3257.677021606664,1716.6777076060173,0.0071710348129272,0.0236380957067012,-196.08834838867188,127.07952117919922,-9.55622100830078,-0.4718076586723327,14.992124557495115,-19.955053329467773,-5.129765033721924,-5.357537746429443,-16.197528839111328,-8.677533149719238,-9.578530311584473,-2.701802492141724,-4.590764045715332,0.0999753922224044,0.2691642940044403,0.5440093278884888,0.2456781268119812,0.223701998591423,0.1940160989761352,0.3339050114154815,0.3448104858398437,0.1910362243652343,0.2669835090637207,0.1332621574401855,0.1015137806534767,1.1639283895492554,1.3998563289642334,Sertanejo,Solo,Santana de Parnaíba,SP,2000,marcos-rosalle-corporativo,12.5,Sertanejo
1,4201,Grupo SambaCana,Pagode,Banda,São Paulo,SP,#04 - CLIMA DE BALANÇO - Farol das Estrelas/ Não Foi a Toa / Ainda Gosto de Você/ É Você,Grupo SambaCana,388.0,260.31,10,10.273514739229023,22050,123.046875,0.2009010463953018,0.0478881448507308,0.0932738431151241,0.0443292193477736,2562.521413492457,674.964171116778,2787.4629107100086,433.4246548759593,5835.133489260017,1637.058233854917,0.029594749212265,0.0286581087857484,-48.55925369262695,82.90306091308594,6.220835208892822,24.52793312072754,16.038591384887695,1.3558529615402222,-6.8056488037109375,4.082374095916748,-8.690363883972168,-0.1296082288026809,-0.1265877336263656,1.001576542854309,-3.721673011779785,0.3324661552906036,0.3632867038249969,0.5222609639167786,0.5428866744041443,0.5900685787200928,0.384570449590683,0.4100480377674103,0.3467946052551269,0.257366418838501,0.3101488947868347,0.2560877203941345,0.3962580859661102,1.4037317037582395,1.2005577087402344,Pagode,Banda,São Paulo,SP,0,grupo-sambacana,11.7461,Samba & Pagode
2,13089,JHONY E HENRIQUE,Sertanejo Universitário,Duo,Jaboticabal,SP,JHONY E HENRIQUE: Na Estrada - EP 03 - Jaboticabal/SP,jhonyehenrique,90.0,33.66,10,13.673514739229024,22050,117.45383522727272,0.3041992783546448,0.0957331135869026,0.0779044858870967,0.0660063634313592,2066.055384625964,767.9796380083525,2432.003020330355,388.0647631935259,4589.698053175403,1564.7637176318142,0.0160237196832895,0.0258972439914941,-39.05142593383789,101.01667022705078,8.426848411560059,27.67619132995605,10.902606010437012,8.761879920959473,-11.792264938354492,13.855674743652344,-6.883642196655273,3.50999116897583,2.1175663471221924,1.8850669860839844,-5.83609676361084,0.2786933183670044,0.2409718185663223,0.3635262548923492,0.3098324835300445,0.2930264770984649,0.281819224357605,0.4235952794551849,0.5801025032997131,0.4392615258693695,0.3473827540874481,0.2902703583240509,0.2944688200950622,1.620069146156311,1.657516598701477,Sertanejo Universitário,Duo,Jaboticabal,SP,0,jhony-e-henrique,10.8341,Sertanejo
3,3739,Fael Souza,MPB,Solo,Aparecida de Goiânia,GO,Trilha fael Souza - Teu príncipe - Show do Cathedral Santos em 2020,Rafael Souza,222.0,137.54,10,17.473514739229024,22050,89.10290948275862,0.2872117459774017,0.0770007446408271,0.0937603751660026,0.0687537711644683,2219.161522971672,976.2087982731466,2523.524455930082,535.897330316265,4850.404047871016,1968.746598932663,0.0206863209605216,0.032093022018671,-36.28559494018555,103.33744049072266,21.749107360839844,25.4161319732666,-10.13616180419922,-2.8529961109161377,7.472399234771728,6.71397876739502,-4.893702983856201,2.854275703430176,2.1076176166534424,4.1460795402526855,-2.5600359439849854,0.317160964012146,0.2788283824920654,0.378382533788681,0.3638646006584167,0.4519828259944916,0.3798672556877136,0.4634225070476532,0.4854066669940948,0.3291920721530914,0.4132776260375976,0.4061180055141449,0.5253586173057556,1.397120475769043,1.320037603378296,MPB,Solo,Aparecida de Goiânia,GO,350,fael-souza,12.5008,Brazilian Roots
4,18784,Fabriccio,MPB,Solo,Vitória,ES,FABRICCIO | Festival AFROMUSIC #2 [show na íntegra],Universo Afromusic,2867.0,2530.54,10,10.473514739229024,22050,69.83741554054055,0.1272540539503097,0.0845988988876342,0.049006369261615,0.0462150407648328,1533.5629497950065,1050.105666265733,1863.555188078535,594.9683759194668,3130.9610822559457,1961.8293140024389,0.007782005239278,0.0234001260250806,-234.0383758544922,99.89652252197266,9.514291763305664,50.11911010742188,12.61560344696045,13.849527359008787,7.457730293273926,-2.681405067443848,-14.685050964355469,-4.341586112976074,-0.4691508412361145,2.390514612197876,0.3945659399032593,0.1695551723241806,0.1494104713201522,0.2160940915346145,0.2176712751388549,0.2521447837352752,0.2690017819404602,0.3890005052089691,0.5259914398193359,0.4845116138458252,0.5393027663230896,0.3927076756954193,0.37901771068573,1.5008463859558103,2.212292194366455,MPB,Solo,Vitória,ES,500,fabriccio,10.8333,Brazilian Roots
5,1532,Edu Berigo Pianista Solo,Músicas Internacionais,Solo,São Roque,SP,Edu Berigo Solo Pianist for Cruise Ships. Repertoire Teaser with 120 song snippets,Edu Berigo,3370.0,294.5,10,14.473514739229024,22050,86.1328125,0.1507510393857956,0.0480055920779705,0.0436933468549679,0.0090596814022962,675.1463608968999,87.62526439792566,776.1554623958643,119.5442848393834,1009.5586923452524,185.71902876325183,4.874660589848645e-05,0.0002232291735708,-240.2720642089844,219.5179748535156,-9.324298858642578,7.561201095581055,8.043914794921875,-10.93331241607666,-5.925915718078613,-7.62444543838501,-9.542805671691896,-4.400331020355225,-4.00861120223999,-10.88112449645996,-12.589269638061523,0.1845065057277679,0.2242214530706405,0.1150341629981994,0.1857608705759048,0.2238480448722839,0.4169377982616424,0.3683511912822723,0.2692565321922302,0.4206401109695434,0.2327196449041366,0.2370012253522873,0.0910973027348518,0.9744763374328612,0.7738070487976074,Músicas Internacionais,Solo,São Roque,SP,300,edu-berigo-pianista-solo,10.8333,Pop & International
6,12109,Banda Sumpes,Banda Baile,Banda,Brasília,DF,O Will Survive - Banda Sumpes,Banda Sumpes,60.0,0.0,10,9.993514739229026,22050,112.34714673913044,0.2131357789039611,0.0627221912145614,0.1132971106438515,0.0620642852324094,2459.7477118781635,721.4583393940333,2474.9008693846545,361.6480731668032,5152.7556169337295,1410.6958922728954,0.0236372519284486,0.0278449766337871,-49.08999633789063,83.46035766601562,-6.201317310333252,21.69556999206543,-2.421138048171997,11.716889381408691,-10.762526512145996,7.562076091766357,-4.567389488220215,5.572946071624756,0.4847998321056366,4.284684181213379,-4.960068702697754,0.4435771107673645,0.3177103698253631,0.3756775557994842,0.4833174049854278,0.5729186534881592,0.4811658263206482,0.2750290334224701,0.2685998976230621,0.2916847765445709,0.3179919123649597,0.3660802245140075,0.4957814216613769,1.2466814517974854,0.80801922082901,Banda Baile,Banda,Brasília,DF,3000,banda-sumpes,10.8333,Carnaval & Festivo
7,14951,PEDRO CHICHERCHIO,Ritmos Variados,Solo,Brasília,DF,Pedro Chicherchio canta Wonderwall - Oasis,Pedro Chicherchio,248.0,140.37,10,10.373514739229025,22050,117.45383522727272,0.2522503733634949,0.0450926572084426,0.0532521497483221,0.0199851108170107,1547.6946436726978,398.84383539791145,2146.9830385314863,341.9025377414559,3502.9270658557048,1332.2980321472455,0.0048293806612491,0.0046298713423311,-64.19964599609375,129.1007843017578,9.28054428100586,16.606706619262695,0.0012024744646623,18.583908081054688,-17.038984298706055,5.748974323272705,-6.060437202453613,-3.5011210441589355,-0.8070922493934631,-12.483367919921877,-2.5804331302642822,0.3437762260437011,0.552554726600647,0.3642632067203522,0.275252103805542,0.3404457867145538,0.249066412448883,0.2500525414943695,0.2212881445884704,0.3378603756427765,0.5994858145713806,0.3425779640674591,0.3254774808883667,1.068326473236084,0.6356135010719299,Ritmos Variados,Solo,Brasília,DF,250,pedro-chicherchio,12.5,Ritmos Variados
8,11620,Grupo TA NA HORA,Pagode,Banda,Ribeirão Preto,SP,Grupo TA NA HORA - Eternamente Feliz,Grupo TA NA HORA Oficial,111.0,55.68,10,15.673514739229024,22050,117.45383522727272,0.2160839140415191,0.0559269897639751,0.0519376675758136,0.0236579659495135,1606.175582391103,484.5414735152995,2353.442316880814,412.4507557230364,3571.708579881657,1789.527081888711,0.0063467053696513,0.0061754151247441,-91.25788116455078,124.60466003417967,22.533933639526367,15.183797836303713,11.305790901184082,-0.0183197557926177,-2.778106212615967,13.144253730773926,-10.9409818649292,0.3062980771064758,-11.590789794921877,0.1186646223068237,-13.004054069519045,0.2320351749658584,0.3715630769729614,0.4946323037147522,0.3890823125839233,0.3798992335796356,0.3428845703601837,0.3697200119495392,0.4368990361690521,0.5004580616950989,0.501990556716919,0.461648166179657,0.3024803400039673,1.1680890321731567,0.747901976108551,Pagode,Banda,Ribeirão Preto,SP,1500,grupo-ta-na-hora,12.6105,Samba & Pagode
9,10885,Kentsbond,Ritmos Variados,Banda,Florianópolis,SC,Kentsbond - Eventos e Festas - A melhor banda de Florianópolis e Região .,kentsfamily,174.0,30.39,10,10.373514739229025,22050,107.666015625,0.1763986349105835,0.0378509685397148,0.252843391708613,0.0646415741221714,3898.726485291877,470.4673663161968,2909.0623598051898,196.8101657949669,7295.926128617869,680.852919527882,0.111811377108097,0.0451028533279895,-16.698266983032227,32.81501770019531,21.954185485839844,35.023643493652344,-14.835404396057127,11.952923774719238,-3.168308734893799,-11.983202934265137,4.029770851135254,3.62694787979126,-5.748871803283691,-3.106400728225708,-5.942094326019287,0.4422109723091125,0.4148510992527008,0.4668521881103515,0.5029146075248718,0.5352213382720947,0.4791399836540222,0.3810396790504455,0.4222720265388489,0.3940011262893677,0.3773624300956726,0.4527697265148163,0.5549424290657043,1.1210010051727295,0.6713101267814636,Ritmos Variados,Banda,Florianópolis,SC,0,kentsbond,10.8333,Ritmos Variados
